data_link, data_name, data_house_type, data_score, data_district, data_street, data_addr_detail, data_rent_num, data_sold_num, data_build_year, data_house_price, data_house_ratio 
https://shenzhenwan1hao.fang.com/esf/,深圳湾1号,住宅,4.0,南山,后海,东滨路与科苑大道交汇处西北侧,65,153,2014,156525,+0.60%,
https://xintiandiyuanyang.fang.com/,远洋新天地,住宅,3.5,龙岗,龙岗中心城,龙翔大道东(天成学校旁),3,140,2016,27621,-24.34%,
https://wanxiangtiancheng.fang.com/,万象天成,住宅,5.0,龙岗,龙岗中心城,龙岗中心城龙翔大道与盛龙路交汇处(龙城..,22,132,2009,31555,-2.12%,
https://bandaochengbang0755.fang.com/3/esf/,半岛城邦三期,住宅,5.0,南山,蛇口,东角头望海路与金世纪路交汇处,87,125,1900,135868,-4.7%,
https://xicheng0755.fang.com/,招华曦城,别墅,5.0,宝安,宝安中心区,广深高速宝安出口招商华侨城,8,125,2012,134680,-1.33%,
https://xinganxianyy0755.fang.com/,远洋新干线,住宅,3.5,龙岗,龙岗中心城,深圳地铁三号线龙城广场站、南联站之间(..,34,118,2014,34532,-2.11%,
https://lihuhuayuan.fang.com/,丽湖花园,住宅,4.0,龙岗,布吉,布吉镇上水径布龙路边307总站旁边,22,114,1998,31574,-1.21%,
https://836906.fang.com/esf/,龙光城,住宅,0.0,惠州,大亚湾区,大亚湾西区西南大道(深惠经济合作区),0,112,2020,11337,-1.65%,
https://jiazhaoyedaguandi.fang.com/,茗萃园,住宅,5.0,龙岗,平湖,平湖良安田平安大道与良白路交汇处(华南..,12,105,2009,33235,-0.07%,
https://longchengzhongyangjd.fang.com/,金地龙城中央,住宅,3.5,龙岗,龙岗中心区,中心区龙城南路与龙岗大道交界处(地铁3号..,32,103,2017,33336,-3.73%,
https://xianhuafuzh.fang.com/,中海西岸华府,住宅,4.0,宝安,松岗,松岗沙江西路与朗碧路交汇处,19,103,2008,35931,+1.02%,
https://yuanlingxincun.fang.com/,园岭新村,住宅,5.0,福田,上步,红岭中路与红荔路交汇处,15,101,1984,70434,-1.94%,
https://donghaihuayuan.fang.com/2/,东海花园二期,住宅,5.0,福田,农科中心,深南大道与香轩路交汇处,30,100,2000,122728,+2.80%,
