businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,workYear,salary,description
['育才'],石家庄,北京美印创新科技有限公司,美印兔兔,15-50人,2018-11-11 09:34:45,裕华区,本科,"移动互联网,企业服务","['大数据', 'SPSS']",全职,4689389,1-3年,5k-10k,"职位描述：

岗位职责：
1、负责数据整理、挖掘及分析工作，定期出具日、周、月、季、半年、年度数据报告及分析报告；
2、深入了解业务，基于数据监控及分析研究，发现业务运营中的问题，同时能够解构问题、分析问题，给出有效改善的建议，并能输出分析报告；
3、分析用户数据：通过深度挖掘用户的行为数据，帮助公司业务线的发现、分析和解决问题；
4、为公司运营决策、产品方向、策略提供数据支持。
任职要求：
1、本科及以上学历，统计学、经济学、社会学、数学，计算机等相关专业；
2、一年及以上互联网数据分析经验；
3、良好的数据敏感度，能从海量数据提炼核心结果；具有较强逻辑思维能力和优秀的分析能力和数据挖掘能力；
4、熟练使用至少一种统计软件和统计工具，如SPSS、SAS、GoogleAnalyticss、Omniture；
5、了解和熟悉至少一种数据库软件，如：oracle、mysql、sqlserver等；
6、为人诚信正直，高度的责任心，良好的沟通和协调能力；

7、有较强的学习能力，思维敏锐，良好的执行力；

8、性格沉稳，勇于创新，有高度的团队精神、强烈的进取心。"
,石家庄,西安美林电子有限责任公司,美林数据,150-500人,2018-11-07 11:42:06,长安区,硕士,数据服务,[],全职,5060750,1-3年,9k-18k,"职位描述：

岗位职责】1.负责售前客户提出需求的业务分析、咨询；2.负责客户需求落地解决方案的编写；3.数据分析类项目业务数据分析，利用数据挖掘算法形成业务模型，指导落地；【岗位要求】1.数学、计算机相关专业，统招本科及以上学历，1年及以上相关工作经验；2.熟练掌握各类数据挖掘算法在相关领域应用；3.熟练掌握数据分析工具，如spss、sas、R语言、Python、SQL等；4.善于沟通交流，具备较好职业素养5.具有电力行业数据挖掘经验者优先考虑。"
"['中山', '南长', '维明']",石家庄,河北幸福消费金融股份有限公司,幸福消费金融,150-500人,2018-11-07 14:55:23,桥西区,本科,"移动互联网,金融",[],全职,5220948,应届毕业生,4k-6k,"职位描述：

岗位职责：
1、负责客户的风险数据分析，挖掘风险客户画像；
2、负责对贷前、贷中、贷后风险预警异常情况进行深入分析，对业务风险指标进行跟踪分析及优化；
3、负责对内部风控模型及第三方数据质量进行评估，撰写相应的评估报告，并提供相应的建议；
4、负责设计并定时跟进风控方面相应的报表，能够通过报表反映风控层面的运营情况，定时向领导汇报；
5、负责对于部门内风控、政策等需求提供相应的数据支持。

任职要求：
1、2019年毕业重点高校全日制本科及以上学历，应届毕业生优先，统计学、数学、计算机等相关专业优先；
2、熟悉python、R、SAS语言其中之一等统计软件，熟悉SQL等常见数据库语言；
3、了解常用的数据挖掘算法，有评分模型、反欺诈模型、网络爬虫、文本挖掘等开发经验；
4、较好的逻辑思维、分析判断能力，较强的团队协作能力，较强的沟通与学习能力。"
,泉州,厦门贝壳闹海房地产经纪有限公司,贝壳找房,2000人以上,2018-11-12 10:27:06,丰泽区,大专,生活服务,[],全职,5133933,1-3年,5k-7k,"职位描述：

主要职责：
1.负责运营数据指标体系搭建、定制化推送每日基础数据，并实现常规报表自动化；
2.对数据进行深度挖掘，定期为客户输出运营数据分析报告及建议，并能应用到实际业务中带来商业价值；
3.负责产品运营异常指标数据检测、分析并解读，实现风险预估及控制。
任职资格:
1、 统招大专及以上学历；
2、 熟练使用office系列办公软件，熟悉Excel常用函数及数据透视表，熟练使用SQL调取数据
3、 1年及以上相关工作经验，有互联网数据分析工作经验者优先；
4、 对数据敏感，具备良好的逻辑分析能力和系统性思维能力；"
,泉州,福建尚品征信有限公司,尚品征信,50-150人,2018-10-22 10:06:03,丰泽区,本科,"移动互联网,数据服务",['大数据'],全职,4569927,3-5年,8K-15K,"职位描述：

岗位职责：
1.参与公司数据产品研发，负责数据清洗，分析和建模；
任职要求：
1. 掌握python语言，数据python下常用数据分析和可视化工具；
2. 熟悉数据分析流程，具备数据清洗，特征提取，数据建模，数据可视化等数据分析能力，有数据挖掘工作经验优先；
3. 熟悉常用数据库mysql，mongodb和redis等和linux系统；
4. 对工作负责，对数据敏感，有技术学习热情和团队精神；"
"['渝州路', '石桥铺']",重庆,重庆忽米网络科技有限公司,宗申创新平台,2000人以上,2018-11-12 09:10:50,九龙坡区,本科,"电子商务,移动互联网","['电商', '运营']",全职,5261530,3-5年,6k-10k,"职位描述：

岗位职责：
1、 负责搭建、优化数据模型/报表； 
2、 负责日报、月报以及各种数据报表的制作、整理、分析（以运营部的数据为主）； 
3、 数据监控，能通过数据分析及时的发现问题，提出预警，并给出优化方案           
任职要求： 
1、 学习能力较强、注重细节、有责任心；
2、 对数据敏感，善于总结数据规律、发现问题； 
3、 有丰富的数据监控、汇总等实践经验，2年以上相关工作经验； 
4、 对业务敏感，能将数据分析和业务紧密结合起来，通过数据推动业务发展； 
5、 沟通协调能力强，具有较强的团队合作精神；
6、 数学及相关专业，互联网行业工作经历优先。"
,重庆,重庆猪八戒网络有限公司,猪八戒网,2000人以上,2018-11-12 11:12:51,渝北区,本科,"企业服务,硬件",[],全职,4945529,3-5年,10k-15k,"职位描述：

岗位职责
1. 能利用数据分析手段，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；
2. 对海量数据进行挖掘，发现其潜在关系，为公司运营和产品策略提供数据支持及建议
3. 配合业务部门的项目给予数据支持，跟踪分析网站日、周、月数据，定期提供分析报表，建立监控指标体系，监控数据异常波动
4. 通过大数据挖掘用户群体行为和属性特征，帮助业务更好的理解客户

岗位要求：
1. 具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；
2. 良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验
3. 具备良好的抗压能力、沟通能力、逻辑思维能力，有独立开展分析研究项目经验
4. 数学、统计、计算机等相关专业优先
5. 具备良好的抗压能力、沟通能力、逻辑思维能力"
"['龙溪', '冉家坝']",重庆,重庆优启科技有限公司,重庆优启科技有限公司,50-150人,2018-11-12 09:17:02,渝北区,本科,"移动互联网,电子商务",['大数据'],全职,5261598,1-3年,6k-9k,"职位描述：

工作职责：1、基于产品、项目等，参与相关分析工作；2、负责具体分析需求的沟通、方案设计、执行、跟进及结果输出，并有效推进分析结论的使用；3、通过专业的分析能力，深入研究用户、数据、方案，为产品优化提供客观科学的支持或方向性指引；4、将研究结论量化为可供产品与设计进行优化的具体实施方案，具备与产品经理、设计师合作的能力。5、能从多种角度（用户、数据、产品、运营）去分析外部门新提案的合理性，对外部门需求进行跟进、给与合理意见，共同提升产品体验与效果。以上分析工作的具体类型包含但不限于：语义分析、用户研究、竞品分析、数据分析、产品分析、运营分析、具体方案输出、效果追踪等。工作要求：1、具有社会学、统计学、数学、心理学、人机工程学等相关专业本科以上学历；2、能够熟练运用科学性分析工具和方法，包括但不限于：问卷、访谈、可用性测试、SPSS、竞品反推等等。3、要求人员综合素质高、学习能力强、逻辑性强，会主动寻找解决方案；4、主动性强，责任感强，主人翁意识强，有较强的洞察力和推进事务的能力。5、良好的沟通、表达能力（包括口头和书面），积极乐观，待人真诚；"
['大竹林'],重庆,重庆易宠科技有限公司,重庆易宠科技有限公司,500-2000人,2018-11-09 18:25:29,渝北区,本科,电子商务,[],全职,5298543,1-3年,5k-8k,"职位描述：

岗位职责：
1、根据公司主要经营指标，获取相关数据，并定期生成各类数据报表；
2、根据需求部门的跨组织数据维度分析需求、方向，对需求建模，并获取数据，生成数据报表；
3、对高频数据需求，沟通协调产品研发部门，推动生成后台数据看板；
4、领导交办其他相关工作。
岗位要求：
1、本科以上学历，统计学专业优先；
2、有从事2年以上的互联网零售或批发行业的数据分析岗位经验；
3、熟练使用EXECL及数据透视表；
4、有独立进行数据分析，并形成报告的能力；
5、有良好的沟通协调能力，能推动产品研发部门，对高频的数据分析需求，设计研发数据看板；"
['大竹林'],重庆,成都小盼科技信息服务有限公司,盼达用车,500-2000人,2018-11-02 13:40:29,渝北区,本科,其他,[],全职,5161773,1-3年,4k-6k,"职位描述：

岗位职责：
1.协助数据统计员对车管部日常绩效数据进行收集、整理，针对性的对各组的数据进行抽样分析
2.对车管部日常绩效数据进行时间节点分析，耗时分析，外勤动作研究等分析3.优化车管部现有流程，协助产品部推进智能调度系统，使后期产品更加满足车管部实际需求4.及时有效地收集外勤的相关意见，督促外勤同事按时有效完成目标，增强外勤同事对公司、对部门、对自己的认识
任职要求：

1.本科及以上学历，不限2.认真仔细，吃苦耐劳，有较强的责任心、事业心和积极的工作态度3.对数据敏感，具有较强的数据分析、处理能力4.熟练操作Office办公软件，具备较强的Excel制作能力和数据处理能力"
