content,productColor,productSize,referenceName
物流给力，发货挺快，文胸质量挺好的，穿上很舒服。，大小挺合适，样式很喜欢，没有色差。客服态度都挺到位的。挺周到，特别满意，有需要再来购买。,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 银灰色 75B
物流速度很快，隔天就收到了，内衣质量棒棒的，非常柔软，聚拢效果特别好，穿着非常舒服特别性感，太喜欢了，商家服务也好，非常细心,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
第二次购买了，质量好，所以果断回购。这款是薄款的，厚度我觉得正好，聚拢效果特别好，无钢圈，定型比较好，穿着挺舒服的，发货速度快，喜欢,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
收到货就试了一下尺码也很合适，聚拢效果就是这么好，深深的乳沟很性感，款式又时尚又舒服！质量也非常好，包装的非常用心，用小巧结实的小纸箱装着，隐秘安全。面料弹性好，手感柔软 ，薄薄的，聚拢效果好，无钢圈设计穿着更舒适，做工也非常地精细，反正我是很满意的，之前在网上买的内衣不好买，怕尺码很难对得上，但是穿过他家的内衣后，完全可以按照平时的尺码来选择，大小刚好合适，他家的内衣很不错，摸起来质感很好，没想到真的不错，良心讲穿上后没有空杯，就像量身定制的，非常服帖胸型，穿起来有集中的效果、胸型也没有很怪，我买的尺码穿着很合适，每个人胸型不一样，穿出来的效果有可能也不同，但可以购入试一试。可以建议购买，准备活动再屯2件。,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
京东的服务就是好，送货上门的，超级方便，全五分，听了店家的建议，推荐给我的尺码选的正合适。无钢圈的穿着很舒服，虽然是薄杯的，而且聚拢效果很好，穿着舒服颜色也比较素雅，真心的喜欢呢。,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
很不错的内衣，无海绵无钢圈，穿起来很是舒适，一下子买了两件，棒棒哒！,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
本来还担心太紧，但是还送了我加长扣，特别好，非常满意！,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
这个无钢圈穿起来比较舒适，而且不勒胸，这是有钢圈文胸是无法达到，可见无钢圈的舒适性是更强的！再说聚拢效果，同样的设计下，虽然这款无钢圈文胸是薄款的但是聚拢效果不比有钢圈的差，以前一直以为无钢圈的款是没有聚拢效果的，因为没有钢圈定型住，现在就觉得无钢圈文胸真的好太多啦，其次就是内衣的做工非常的精美，个人感觉挺适合我，穿上一天肩带也不会滑落，做工都非常不错，个人还是比较满意，无钢圈穿着更健康更舒适，因为没有钢圈，穿在身上不会觉得有束缚有压力，觉得大大的减少了压力，对自己身体也有好处，而且这个款式的面料的不管是用手摸还是穿着身上都很舒适柔软，朋友也想让我帮她买两件不同颜色的，绝对的物有所值。,银灰色,75B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
薄款，无钢圈，与描述一致！夏天穿很舒服，比较透气！搞活动购买很优惠！,银灰色,85B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
薄款，无钢圈，与描述一致！夏天穿很舒服，比较透气！搞活动购买很优惠！,肤色,85B,梦芭蒂文胸薄款大码内衣女无钢圈聚拢透气大胸mm套装收副乳少女胸罩 HDFF黑色 75D
